application,law,repetition,campaign_id,operation,test_attempts,test_successes,E,R,common_point,equal_exact_point_forecasts,E_metrics,R_metrics
deathstarbench_social_network,N,0,v4-confirmation-771621/deathstarbench_social_network/split/N/0,compose_post,1200,1139,"{""identified_lower"": 0.9533333333333334, ""identified_upper"": 0.9533333333333334, ""kind"": ""point"", ""lower_exact"": ""143/150"", ""probability"": 0.9533333333333334, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""143/150""}","{""identified_lower"": 0.9533333333333334, ""identified_upper"": 0.9533333333333334, ""kind"": ""point"", ""lower_exact"": ""143/150"", ""probability"": 0.9533333333333334, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""143/150""}",True,True,"{""absolute_error_pp"": 0.4166666666666652, ""attempts"": 1200, ""brier"": 0.04826666666666666, ""forecast"": 0.9533333333333334, ""observed"": 0.9491666666666667, ""signed_error_pp"": 0.4166666666666652, ""successes"": 1139}","{""absolute_error_pp"": 0.4166666666666652, ""attempts"": 1200, ""brier"": 0.04826666666666666, ""forecast"": 0.9533333333333334, ""observed"": 0.9491666666666667, ""signed_error_pp"": 0.4166666666666652, ""successes"": 1139}"
deathstarbench_social_network,N,0,v4-confirmation-771621/deathstarbench_social_network/split/N/0,read_home_timeline,1200,1200,"{""identified_lower"": 1.0, ""identified_upper"": 1.0, ""kind"": ""point"", ""lower_exact"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""1""}","{""identified_lower"": 1.0, ""identified_upper"": 1.0, ""kind"": ""point"", ""lower_exact"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""1""}",True,True,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}","{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}"
deathstarbench_social_network,N,0,v4-confirmation-771621/deathstarbench_social_network/split/N/0,read_user_timeline,1200,1123,"{""identified_lower"": 0.93, ""identified_upper"": 0.93, ""kind"": ""point"", ""lower_exact"": ""93/100"", ""probability"": 0.93, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""93/100""}","{""identified_lower"": 0.93, ""identified_upper"": 0.93, ""kind"": ""point"", ""lower_exact"": ""93/100"", ""probability"": 0.93, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""93/100""}",True,True,"{""absolute_error_pp"": 0.5833333333333246, ""attempts"": 1200, ""brier"": 0.06008333333333333, ""forecast"": 0.93, ""observed"": 0.9358333333333333, ""signed_error_pp"": -0.5833333333333246, ""successes"": 1123}","{""absolute_error_pp"": 0.5833333333333246, ""attempts"": 1200, ""brier"": 0.06008333333333333, ""forecast"": 0.93, ""observed"": 0.9358333333333333, ""signed_error_pp"": -0.5833333333333246, ""successes"": 1123}"
deathstarbench_social_network,N,1,v4-confirmation-771621/deathstarbench_social_network/split/N/1,compose_post,1200,1139,"{""identified_lower"": 0.9483333333333334, ""identified_upper"": 0.9483333333333334, ""kind"": ""point"", ""lower_exact"": ""569/600"", ""probability"": 0.9483333333333334, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""569/600""}","{""identified_lower"": 0.9483333333333334, ""identified_upper"": 0.9483333333333334, ""kind"": ""point"", ""lower_exact"": ""569/600"", ""probability"": 0.9483333333333334, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""569/600""}",True,True,"{""absolute_error_pp"": 0.08333333333333526, ""attempts"": 1200, ""brier"": 0.04825, ""forecast"": 0.9483333333333334, ""observed"": 0.9491666666666667, ""signed_error_pp"": -0.08333333333333526, ""successes"": 1139}","{""absolute_error_pp"": 0.08333333333333526, ""attempts"": 1200, ""brier"": 0.04825, ""forecast"": 0.9483333333333334, ""observed"": 0.9491666666666667, ""signed_error_pp"": -0.08333333333333526, ""successes"": 1139}"
deathstarbench_social_network,N,1,v4-confirmation-771621/deathstarbench_social_network/split/N/1,read_home_timeline,1200,1200,"{""identified_lower"": 1.0, ""identified_upper"": 1.0, ""kind"": ""point"", ""lower_exact"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""1""}","{""identified_lower"": 1.0, ""identified_upper"": 1.0, ""kind"": ""point"", ""lower_exact"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""1""}",True,True,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}","{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}"
deathstarbench_social_network,N,1,v4-confirmation-771621/deathstarbench_social_network/split/N/1,read_user_timeline,1200,1121,"{""identified_lower"": 0.92, ""identified_upper"": 0.92, ""kind"": ""point"", ""lower_exact"": ""23/25"", ""probability"": 0.92, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""23/25""}","{""identified_lower"": 0.92, ""identified_upper"": 0.92, ""kind"": ""point"", ""lower_exact"": ""23/25"", ""probability"": 0.92, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""23/25""}",True,True,"{""absolute_error_pp"": 1.416666666666666, ""attempts"": 1200, ""brier"": 0.06169999999999999, ""forecast"": 0.92, ""observed"": 0.9341666666666667, ""signed_error_pp"": -1.416666666666666, ""successes"": 1121}","{""absolute_error_pp"": 1.416666666666666, ""attempts"": 1200, ""brier"": 0.06169999999999999, ""forecast"": 0.92, ""observed"": 0.9341666666666667, ""signed_error_pp"": -1.416666666666666, ""successes"": 1121}"
deathstarbench_social_network,N,2,v4-confirmation-771621/deathstarbench_social_network/split/N/2,compose_post,1200,1141,"{""identified_lower"": 0.9475, ""identified_upper"": 0.9475, ""kind"": ""point"", ""lower_exact"": ""379/400"", ""probability"": 0.9475, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""379/400""}","{""identified_lower"": 0.9475, ""identified_upper"": 0.9475, ""kind"": ""point"", ""lower_exact"": ""379/400"", ""probability"": 0.9475, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""379/400""}",True,True,"{""absolute_error_pp"": 0.33333333333332993, ""attempts"": 1200, ""brier"": 0.046760416666666665, ""forecast"": 0.9475, ""observed"": 0.9508333333333333, ""signed_error_pp"": -0.33333333333332993, ""successes"": 1141}","{""absolute_error_pp"": 0.33333333333332993, ""attempts"": 1200, ""brier"": 0.046760416666666665, ""forecast"": 0.9475, ""observed"": 0.9508333333333333, ""signed_error_pp"": -0.33333333333332993, ""successes"": 1141}"
deathstarbench_social_network,N,2,v4-confirmation-771621/deathstarbench_social_network/split/N/2,read_home_timeline,1200,1200,"{""identified_lower"": 1.0, ""identified_upper"": 1.0, ""kind"": ""point"", ""lower_exact"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""1""}","{""identified_lower"": 1.0, ""identified_upper"": 1.0, ""kind"": ""point"", ""lower_exact"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""1""}",True,True,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}","{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}"
deathstarbench_social_network,N,2,v4-confirmation-771621/deathstarbench_social_network/split/N/2,read_user_timeline,1200,1098,"{""identified_lower"": 0.9116666666666666, ""identified_upper"": 0.9116666666666666, ""kind"": ""point"", ""lower_exact"": ""547/600"", ""probability"": 0.9116666666666666, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""547/600""}","{""identified_lower"": 0.9116666666666666, ""identified_upper"": 0.9116666666666666, ""kind"": ""point"", ""lower_exact"": ""547/600"", ""probability"": 0.9116666666666666, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""547/600""}",True,True,"{""absolute_error_pp"": 0.33333333333334103, ""attempts"": 1200, ""brier"": 0.07778611111111111, ""forecast"": 0.9116666666666666, ""observed"": 0.915, ""signed_error_pp"": -0.33333333333334103, ""successes"": 1098}","{""absolute_error_pp"": 0.33333333333334103, ""attempts"": 1200, ""brier"": 0.07778611111111111, ""forecast"": 0.9116666666666666, ""observed"": 0.915, ""signed_error_pp"": -0.33333333333334103, ""successes"": 1098}"
deathstarbench_social_network,NC,0,v4-confirmation-771621/deathstarbench_social_network/split/NC/0,compose_post,1200,1070,"{""identified_lower"": 0.9025, ""identified_upper"": 0.9025, ""kind"": ""point"", ""lower_exact"": ""361/400"", ""probability"": 0.9025, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""361/400""}","{""identified_lower"": 0.9025, ""identified_upper"": 0.9025, ""kind"": ""point"", ""lower_exact"": ""361/400"", ""probability"": 0.9025, ""reason"": null, ""status"": ""ok"", ""upper_exact"": ""361/400""}",True,True,"{""absolute_error_pp"": 1.083333333333325, ""attempts"": 1200, ""brier"": 0.09671458333333334, ""forecast"": 0.9025, ""observed"": 0.8916666666666667, ""signed_error_pp"": 1.083333333333325, ""successes"": 1070}","{""absolute_error_pp"": 1.083333333333325, ""attempts"": 1200, ""brier"": 0.09671458333333334, ""forecast"": 0.9025, ""observed"": 0.8916666666666667, ""signed_error_pp"": 1.083333333333325, ""successes"": 1070}"
