application,campaign_id,evaluator_reason,evaluator_status,forecast,law,method,metrics,operation,placement,repetition
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""exact_fraction"": ""143/150"", ""probability"": 0.9533333333333334, ""reason"": null, ""status"": ""ok""}",N,Gstar,"{""absolute_error_pp"": 0.4166666666666652, ""attempts"": 1200, ""brier"": 0.04826666666666666, ""forecast"": 0.9533333333333334, ""observed"": 0.9491666666666667, ""signed_error_pp"": 0.4166666666666652, ""successes"": 1139}",compose_post,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""identified_lower"": 0.9533333333333334, ""identified_upper"": 1.0, ""lower_exact"": ""143/150"", ""probability"": null, ""reason"": ""not_point_identified_under_declared_observation_law"", ""status"": ""unsupported"", ""upper_exact"": ""1""}",N,GID,,compose_post,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""identified_lower"": 0.9533333333333334, ""identified_upper"": 1.0, ""lower_exact"": ""143/150"", ""probability"": null, ""reason"": ""not_point_identified_under_declared_observation_law"", ""status"": ""unsupported"", ""upper_exact"": ""1""}",N,Gselected,,compose_post,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""identified_lower"": 0.9533333333333334, ""identified_upper"": 0.9991666666666666, ""lower_exact"": ""143/150"", ""probability"": null, ""reason"": ""not_point_identified_under_declared_observation_law"", ""status"": ""unsupported"", ""upper_exact"": ""1199/1200""}",N,G_without_deadline,,compose_post,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""exact_fraction"": ""143/150"", ""probability"": 0.9533333333333334, ""reason"": null, ""status"": ""ok""}",N,G_without_selection,"{""absolute_error_pp"": 0.4166666666666652, ""attempts"": 1200, ""brier"": 0.04826666666666666, ""forecast"": 0.9533333333333334, ""observed"": 0.9491666666666667, ""signed_error_pp"": 0.4166666666666652, ""successes"": 1139}",compose_post,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""identified_lower"": 0.9533333333333334, ""identified_upper"": 0.9541666666666667, ""lower_exact"": ""143/150"", ""probability"": null, ""reason"": ""not_point_identified_under_declared_observation_law"", ""status"": ""unsupported"", ""upper_exact"": ""229/240""}",N,G_without_completion,,compose_post,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G0,"{""absolute_error_pp"": 5.083333333333329, ""attempts"": 1200, ""brier"": 0.050833333333333335, ""forecast"": 1.0, ""observed"": 0.9491666666666667, ""signed_error_pp"": 5.083333333333329, ""successes"": 1139}",compose_post,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""attempts"": 1200, ""exact_fraction"": ""1144/1200"", ""probability"": 0.9533333333333334, ""reason"": null, ""status"": ""ok"", ""successes"": 1144, ""timeouts"": 55}",N,B0,"{""absolute_error_pp"": 0.4166666666666652, ""attempts"": 1200, ""brier"": 0.04826666666666666, ""forecast"": 0.9533333333333334, ""observed"": 0.9491666666666667, ""signed_error_pp"": 0.4166666666666652, ""successes"": 1139}",compose_post,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""model_id"": ""campaign-fdfbf68397c13e74a827--compose_post--conditional_local"", ""probability"": 0.9533333333333334, ""reason"": null, ""status"": ""ok""}",N,PMX,"{""absolute_error_pp"": 0.4166666666666652, ""attempts"": 1200, ""brier"": 0.04826666666666666, ""forecast"": 0.9533333333333334, ""observed"": 0.9491666666666667, ""signed_error_pp"": 0.4166666666666652, ""successes"": 1139}",compose_post,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""model_id"": ""campaign-fdfbf68397c13e74a827--compose_post--inclusive"", ""probability"": 0.9525388888888889, ""reason"": null, ""status"": ""ok""}",N,PMX_inclusive,"{""absolute_error_pp"": 0.3372222222222221, ""attempts"": 1200, ""brier"": 0.04826067743827161, ""forecast"": 0.9525388888888889, ""observed"": 0.9491666666666667, ""signed_error_pp"": 0.3372222222222221, ""successes"": 1139}",compose_post,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,Gstar,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,GID,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,Gselected,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G_without_deadline,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G_without_selection,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G_without_completion,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G0,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""attempts"": 1200, ""exact_fraction"": ""1200/1200"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok"", ""successes"": 1200, ""timeouts"": 0}",N,B0,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""model_id"": ""campaign-fdfbf68397c13e74a827--read_home_timeline--conditional_local"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,PMX,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""model_id"": ""campaign-fdfbf68397c13e74a827--read_home_timeline--inclusive"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,PMX_inclusive,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""exact_fraction"": ""93/100"", ""probability"": 0.93, ""reason"": null, ""status"": ""ok""}",N,Gstar,"{""absolute_error_pp"": 0.5833333333333246, ""attempts"": 1200, ""brier"": 0.06008333333333333, ""forecast"": 0.93, ""observed"": 0.9358333333333333, ""signed_error_pp"": -0.5833333333333246, ""successes"": 1123}",read_user_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""identified_lower"": 0.93, ""identified_upper"": 1.0, ""lower_exact"": ""93/100"", ""probability"": null, ""reason"": ""not_point_identified_under_declared_observation_law"", ""status"": ""unsupported"", ""upper_exact"": ""1""}",N,GID,,read_user_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""identified_lower"": 0.93, ""identified_upper"": 1.0, ""lower_exact"": ""93/100"", ""probability"": null, ""reason"": ""not_point_identified_under_declared_observation_law"", ""status"": ""unsupported"", ""upper_exact"": ""1""}",N,Gselected,,read_user_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""identified_lower"": 0.93, ""identified_upper"": 1.0, ""lower_exact"": ""93/100"", ""probability"": null, ""reason"": ""not_point_identified_under_declared_observation_law"", ""status"": ""unsupported"", ""upper_exact"": ""1""}",N,G_without_deadline,,read_user_timeline,split,0
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0,,qualified,"{""exact_fraction"": ""93/100"", ""probability"": 0.93, ""reason"": null, ""status"": ""ok""}",N,G_without_selection,"{""absolute_error_pp"": 0.5833333333333246, ""attempts"": 1200, ""brier"": 0.06008333333333333, ""forecast"": 0.93, ""observed"": 0.9358333333333333, ""signed_error_pp"": -0.5833333333333246, ""successes"": 1123}",read_user_timeline,split,0
